cms_certification_number_ccn,facility_name,address_line_1,address_line_2,citytown,state,zip_code,countyparish,telephone_number,cms_region,measure_code,measure_name,score,footnote,measure_date_range
001500,"AGAVE HOSPICE","3240 EAST UNION HILLS DRIVE SUITE 145 ROOM A",,PHOENIX,AZ,85050,Maricopa,"(602) 855-3500",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
001501,"ELITE HOSPICE SERVICES INC","13201 NORTH 35TH AVENUE, SUITE B8-B",,PHOENIX,AZ,85029,Maricopa,"(623) 476-9198",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001502,"FAMILY FIRST HOSPICE, INC","4150 WEST PEORIA AVENUE, SUITE B 116- G",,PHOENIX,AZ,85029,Maricopa,"(602) 742-0313",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001503,"SAMARITAN HOSPICE INC","64 EAST BROADWAY ROAD, SUITE 200 OFFICE 216",,TEMPE,AZ,85282,Maricopa,"(602) 922-8233",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001504,"VITAL HC, INC","1729 NORTH TREKELL ROAD, SUITE 122",,"CASA GRANDE",AZ,85122,Pinal,"(520) 278-5003",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001505,"ADVOCATE HOSPICE","7600 NORTH 16TH STREET, SUITE 112",,PHOENIX,AZ,85020,Maricopa,"(602) 830-0605",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",1,01/01/2021-12/31/2022
001506,"INFINITE HOSPICE, INC","13231 NORTH 35TH AVENUE, SUITE A10A",,PHOENIX,AZ,85029,Maricopa,"(623) 476-9198",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001507,"BLUE SKY HOSPICE CARE INC","4150 WEST PEORIA AVE STE B114C",,PHOENIX,AZ,85029,Maricopa,"(480) 885-5283",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001508,"OPTIMAL HOSPICE INC","64 EAST BROADWAY ROAD, SUITE 200 OFFICE 278",,TEMPE,AZ,85282,Maricopa,"(623) 887-8837",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001509,"CARE PLUS HOSPICE CARE, LLC","628 NORTH 24TH STREET SUITE  C",,PHOENIX,AZ,85008,Maricopa,"(623) 476-9198",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001510,"FAMILY CARE HOSPICE INC","3420 EAST SHEA BOULEVARD, SUITE 200 OFFICE 250",,PHOENIX,AZ,85028,Maricopa,"(602) 805-7940",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001511,"COPPER STATE HOSPICE INC","ONE SOUTH CHURCH AVENUE, SUITE 1200, OFFICE 1216",,TUCSON,AZ,85701,Pima,"(323) 552-3300",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001512,"ISLE OF HOPE HOSPICE INC","20 EAST THOMAS RD, STE 2200 OFFICE 2217",,PHOENIX,AZ,85012,Maricopa,"(602) 610-8998",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001513,"EXPERT HOSPICE CARE INC","13201 NORTH 35TH AVENUE SUITE B8-A",,PHOENIX,AZ,85029,Maricopa,"(323) 394-8000",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001514,"UNIVERSAL PALLIATIVE &  HOSPICE CARE INC","13201 NORTH 35TH AVENUE, SUITE B8-C",,PHOENIX,AZ,85029,Maricopa,"(602) 922-0446",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001515,"PRISTINE HOSPICE LLC","8607 NORTH 59TH AVENUE, SUITE A1",,GLENDALE,AZ,85302,Maricopa,"(480) 343-8045",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available","1,2",01/01/2021-12/31/2022
001516,"VALLEYSIDE HOSPICE INC","8751 N  51ST AVE SUITE 120 BREAK",,GLENDALE,AZ,85302,Maricopa,"(623) 476-9198",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001517,"SUNSET HOSPICE LLC","6612 EAST CARONDELET DRIVE SUITE B",,TUCSON,AZ,85710,Pima,"(520) 245-9431",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available","1,2",01/01/2021-12/31/2022
001518,"GOLDEN GATE HOSPICE INC","4150 WEST PEORIA AVENUE, STE B114D",,PHOENIX,AZ,85029,Maricopa,"(480) 885-5284",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001519,"DEVOTED HOSPICE CARE INC","4150 WEST PEORIA AVENUE, STE B 116-H",,PHOENIX,AZ,85029,Maricopa,"(602) 742-0335",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001520,"LOVING HANDS HOSPICE, INC","11811 NORTH TATUM BOULEVARD, SUITE 3031 OFFICE 45",,PHOENIX,AZ,85028,Maricopa,"(602) 612-8656",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001521,"OTIUM HOSPICE INC","64 EAST BROADWAY ROAD, SUITE 200 OFFICE 259",,TEMPE,AZ,85282,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001522,"GARNET HOSPICE CARE INC","4150 WEST PEORIA AVENUE, SUITE B113 A",,PHOENIX,AZ,85029,Maricopa,"(602) 887-3040",9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001523,"ZION HOSPICE INC","11811 NORTH TATUM BOULEVARD SUITE 3031, OFFICE 40",,PHOENIX,AZ,85028,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001524,"GOLDEN ROSE HOSPICE CARE INC","4150 WEST PEORIA AVE, STE B114A",,PHOENIX,AZ,85029,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001525,"RNHA HOSPICE CARE INC","4150 W PEORIA AVE STE 114-B",,PHOENIX,AZ,85029,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001526,"POLARIS HOSPICE LLC","8751 NORTH 51ST AVENUE SUITE 121-D",,GLENDALE,AZ,85302,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001527,"SUPPORTIVE HANDS HOSPICE INC","2930 E CAMELBACK RD STE 120",,PHOENIX,AZ,85016,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001528,"PHOENIX HOSPICE & PALLIATIVE CARE LLC","4858 E BASELINE RD STE 104",,MESA,AZ,85206,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001529,"ACACIA HOSPICE CARE OF LAKE HAVASU INC","1930 MESQUITE AVENUE, SUITE 9",,"LAKE HAVASU CITY",AZ,86403,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001530,"ARIZONA PROFESSIONAL HEALTHCARE LLC","11225 NORTH 28TH DRIVE, SUITE D220E",,PHOENIX,AZ,85029,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001531,"ARA HOSPICE CARE INC","4150 E PEORIA, STE 114-A ",,PHOENIX,AZ,85029,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001532,"HOSPICE AND PALLIATIVE CARE OF ARIZONA, LLC","2720 EAST THOMAS ROAD SUITE B200-C",,PHOENIX,AZ,85016,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001533,"LUMINOUS HOSPICE CARE INC","15333 N PIMA RD, STE 305",,SCOTTSDALE,AZ,85260,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001534,"PRIMAVERA HOSPICE LLC","8751 NORTH 51ST AVENUE, SUITE 121-E ",,GLENDALE,AZ,85302,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001535,"APRI HOSPICE LLC","16165 NORTH 83RD AVE, SUITE 200",,PEORIA,AZ,85382,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001536,"NEW HORIZON HOSPICE INC","15333 NORTH PIMA ROAD, SUITE 305 OFFICE 316",,SCOTTSDALE,AZ,85260,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001537,"BEST CARE HOSPICE INC","13201 NORTH 35TH AVENUE, SUITE B7B",,PHOENIX,AZ,85029,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001538,"DESERT SKY HOSPICE, LLC","7330 N. 16TH ST, A-110, ROOM 1 & #",,PHOENIX,AZ,85020,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001539,"HOSPICE OF YAVAPAI COUNTY LLC","8430 EAST SPOUSE DRIVE",,"PRESCOTT VALLEY",AZ,86314,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001540,"BLUE HAVEN HOSPICE CARE INC","4150 WEST  PEORIA AVE STE B114B",,PHOENIX,AZ,85029,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001541,"LIFETIME CARE HOSIPCE INC","6991 E CAMELBACK RD, STE D-300, OFFICE 340",,SCOTTSDALE,AZ,85251,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001542,"HIDDEN HILLS HOSPICE LLC","1825 E NORTHERN AVENUE # 161 A",,PHOENIX,AZ,85020,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001543,"GOLDEN CANYON HOSPICE INC","4150 WEST PEORIA AVE, SUITE B114E",,PHOENIX,AZ,85029,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001544,"PRO LIFE HOSPICE CARE INC","4150 WEST PEORIA AVENUE, SUITE B113-G",,PHOENIX,AZ,85029,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001545,"BLUE WINGS HOSPICE INC","ONE SOUTH CHURCH AVENUE, SUITE 1200, OFFICE 1214",,TUCSON,AZ,85701,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001546,"COMFORTING HOSPICE CENTER INC","4150 WEST PEORIA AVENUE SUITE B113 - F",,PHOENIX,AZ,85029,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001547,"PRO CARE HOSPICE INC","3420 EAST SHEA BLVD, SUITE 200, OFFICE 210",,PHOENIX,AZ,85028,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001548,"HEALING ANGELS HOSPICE CARE INC","ONE SOUTH CHURCH AVENUE, SUITE 1200, SUITE 1211",,TUCSON,AZ,85701,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001549,"SUNRISE HEALTHCARE INC","13201 NORTH 35TH AVENUE SUITE B9B",,PHOENIX,AZ,85029,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001550,"ALAGA HOSPICE LLC","3250 GATEWAY BLVD, SUITE 112",,PRESCOTT,AZ,86303,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001551,"PARADISE VALLEY HOSPICE INC","11811 NORTH TATUM BOULEVARD, SUITE 3031 OFFICE 46",,PHOENIX,AZ,85028,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001552,"ARIZONA HOSPICE CARE INC","13201 NORTH 35TH SUITE B9Z",,PHOENIX,AZ,85029,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
001553,"SERENITY HOSPICE SERVICES INC","13231 NORTH 35TH AVENUE, SUITE A11-B",,PHOENIX,AZ,85029,,,9,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
011500,"HEALTHCARE AUTHORITY FOR BAPTIST HEALTH, AN AFFILI","2105 EAST SOUTH BLVD.",,MONTGOMERY,AL,36116,Montgomery,"(334) 395-5000",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011501,"SOUTHERNCARE NEW BEACON N. BIRMINGHAM","4735 NORREL DRIVE, SUITE 129",,TRUSSVILLE,AL,35173,Jefferson,"(205) 939-8799",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
